index,date,description,event_id,away_team,home_team,julian_day
790,2014-11-26T02:00:00Z,Chicago Bulls at Denver Nuggets Tickets,9107478,Chicago Bulls,Denver Nuggets,2014_330
791,2015-01-23T03:00:00Z,Boston Celtics at Portland Trail Blazers Tickets,9107319,Boston Celtics,Portland Trail Blazers,2015_023
792,2015-04-01T02:30:00Z,Golden State Warriors at Los Angeles Clippers Tickets,9108010,Golden State Warriors,Los Angeles Clippers,2015_091
793,2015-03-16T01:00:00Z,New York Knicks at Phoenix Suns Tickets,9107700,New York Knicks,Phoenix Suns,2015_075
794,2014-12-20T02:00:00Z,Los Angeles Clippers at Denver Nuggets Tickets,9107502,Los Angeles Clippers,Denver Nuggets,2014_354
795,2015-02-08T01:30:00Z,Portland Trail Blazers at Dallas Mavericks Tickets,9107120,Portland Trail Blazers,Dallas Mavericks,2015_039
796,2015-03-06T01:00:00Z,Oklahoma City Thunder at Chicago Bulls Tickets,9107160,Oklahoma City Thunder,Chicago Bulls,2015_065
797,2014-12-15T00:00:00Z,Phoenix Suns at Oklahoma City Thunder Tickets,9107176,Phoenix Suns,Oklahoma City Thunder,2014_349
798,2015-03-08T19:30:00Z,Los Angeles Clippers at Golden State Warriors Tickets,9106802,Los Angeles Clippers,Golden State Warriors,2015_067
799,2014-11-12T03:00:00Z,Charlotte Hornets at Portland Trail Blazers Tickets,9107337,Charlotte Hornets,Portland Trail Blazers,2014_316
800,2014-11-12T01:00:00Z,Oklahoma City Thunder at Milwaukee Bucks Tickets (Fox Sports Wi,9107712,Oklahoma City Thunder,Milwaukee Bucks,2014_316
801,2014-11-15T02:00:00Z,Charlotte Hornets at Phoenix Suns Tickets,9107624,Charlotte Hornets,Phoenix Suns,2014_319
802,2014-11-13T00:30:00Z,Utah Jazz at Atlanta Hawks Tickets,9108183,Utah Jazz,Atlanta Hawks,2014_317
803,2014-11-13T02:00:00Z,Portland Trail Blazers at Denver Nuggets Tickets,9107457,Portland Trail Blazers,Denver Nuggets,2014_317
804,2014-11-11T00:00:00Z,New Orleans Pelicans at Cleveland Cavaliers Tickets,9106901,New Orleans Pelicans,Cleveland Cavaliers,2014_315
